id,variant,length,score_blosum,mismatches,gap_count
QVP21589.1,Alpha,1270,6298.5,63,3
QUA62540.1,Alpha,1270,6636.5,7,3
QWO20822.1,Alpha,1270,6247.5,72,3
QVM56902.1,Alpha,1270,6636.5,7,3
UBA02121.1,Alpha,1270,6632.5,8,3
QWW54555.1,Alpha,1270,6505.5,27,3
QVK79866.1,Alpha,1270,6636.5,7,3
UIF63273.1,Alpha,1270,6622.5,9,3
UEF57818.1,Alpha,1270,6269.5,68,3
QUM35344.1,Alpha,1270,6636.5,7,3
UPC73043.1,Alpha,1270,5804.5,140,3
QQP64913.1,Alpha,1270,6636.5,7,3
UID42729.1,Alpha,1270,6629.5,8,3
QXX42979.1,Alpha,1270,6636.5,7,3
QVG02766.1,Alpha,1270,6353.5,52,3
XND61447.1,Alpha,1270,6244.5,71,3
UWK81393.1,Alpha,1270,6630.5,8,3
QVJ33533.1,Alpha,1270,6636.5,7,3
QVV14234.1,Alpha,1270,6460.5,35,3
QWE92388.1,Alpha,1270,6630.5,9,3
UID57407.1,Alpha,1270,6631.5,8,3
QUD43560.1,Alpha,1270,6631.5,8,3
QTN72052.1,Alpha,1270,6636.5,7,3
QXJ09646.1,Alpha,1258,6408.0,33,15
QQX33738.1,Alpha,1270,6631.5,8,3
QVO64803.1,Alpha,1270,6636.5,7,3
QUF16429.1,Alpha,1270,6636.5,7,3
QUB26835.1,Alpha,1270,6629.5,8,3
QTN72567.1,Alpha,1270,6636.5,7,3
QTS97133.1,Alpha,1270,6631.5,8,3
UGO63941.1,Alpha,1273,6649.0,11,0
QWB52325.1,Alpha,1270,6632.5,8,3
QWB82757.1,Alpha,1270,6636.5,7,3
QTZ12111.1,Alpha,1270,6636.5,7,3
QUP81331.1,Alpha,1270,6018.5,106,3
QVX33159.1,Alpha,1270,6636.5,7,3
QVJ58212.1,Alpha,1270,6636.5,7,3
QVX60021.1,Alpha,1270,6626.5,9,3
QUC77584.1,Alpha,1270,6623.5,9,3
UIC18373.1,Alpha,1270,5487.5,189,3
QVM43453.1,Alpha,1270,6627.5,9,3
QWZ34357.1,Alpha,1270,6632.5,8,3
QUE23437.1,Alpha,1270,6636.5,7,3
QVX46923.1,Alpha,1270,4627.5,355,3
UOM10062.1,Alpha,1270,6626.5,9,3
QUG26566.1,Alpha,1270,6636.5,7,3
WZB07111.1,Alpha,1270,6631.5,8,3
QTY96434.1,Alpha,1270,6636.5,7,3
QVG37731.1,Alpha,1270,6630.5,8,3
QXL03919.1,Alpha,1270,6636.5,7,3
QUH71390.1,Alpha,1270,6630.5,8,3
UGO62522.1,Alpha,1273,6111.0,96,0
QZB04696.1,Alpha,1270,6636.5,7,3
QWK66502.1,Alpha,1270,6636.5,7,3
QVM37267.1,Alpha,1270,6636.5,7,3
WGP84167.1,Alpha,1270,6622.5,9,3
UGO79539.1,Alpha,1273,6590.0,20,0
XND29262.1,Alpha,1270,6512.5,29,3
QVO31450.1,Alpha,1270,6635.5,8,3
QVM42301.1,Alpha,1270,6636.5,7,3
QXL51936.1,Alpha,1270,6632.5,8,3
UAZ89258.1,Alpha,1270,6636.5,7,3
QVG91393.1,Alpha,1270,6636.5,7,3
QVX62905.1,Alpha,1270,6636.5,7,3
QWY66187.1,Alpha,1270,6279.5,66,3
QUQ28020.1,Alpha,1270,6636.5,7,3
QUM41179.1,Alpha,1270,6627.5,9,3
UCU67213.1,Alpha,1270,6636.5,7,3
QUH71606.1,Alpha,1270,6631.5,8,3
QVP20941.1,Alpha,1270,6636.5,7,3
XND38336.1,Alpha,1270,6230.5,73,3
XND68823.1,Alpha,1270,6632.5,8,3
QWU71324.1,Alpha,1270,6636.5,7,3
QVN41527.1,Alpha,1270,6631.5,8,3
QUD17316.1,Alpha,1270,6636.5,7,3
QUL72681.1,Alpha,1270,6636.5,7,3
ULH40423.1,Alpha,1270,6636.5,7,3
UAZ82323.1,Alpha,1270,6631.5,8,3
QUU33847.1,Alpha,1270,6636.5,7,3
QXK72835.1,Alpha,1270,6626.5,8,3
WKP28586.1,Alpha,1270,6636.5,7,3
UPD27113.1,Alpha,1270,6409.5,41,3
XND57225.1,Alpha,1270,6498.5,31,3
QTF14518.1,Alpha,1270,6630.5,8,3
QVI12462.1,Alpha,1271,6645.5,8,2
QWB77471.1,Alpha,1270,6631.5,8,3
QUH66893.1,Alpha,1270,6631.5,8,3
UHU46360.1,Alpha,1270,6063.5,96,3
XND38597.1,Alpha,1270,6002.5,106,3
QUE49081.1,Alpha,1270,6636.5,7,3
UFD91173.1,Alpha,1270,6631.5,8,3
URF14237.1,Alpha,1270,6636.5,7,3
QUE22909.1,Alpha,1270,6636.5,7,3
WZA74723.1,Alpha,1270,6636.5,7,3
QVJ36925.1,Alpha,1270,6516.5,30,3
UHM32246.1,Alpha,1273,5479.0,203,0
QWX29992.1,Alpha,1270,6343.5,54,3
QUP36538.1,Alpha,1270,6267.5,68,3
QVV31194.1,Alpha,1270,6636.5,7,3
QXL56327.1,Alpha,1270,6636.5,7,3
QUV33726.1,Alpha,1270,6635.5,8,3
QUH55023.1,Alpha,1270,6631.5,8,3
UTN89116.1,Alpha,1270,6628.5,8,3
QVW39571.1,Alpha,1270,6630.5,8,3
QWF04382.1,Alpha,1270,6636.5,7,3
QUO59354.1,Alpha,1270,6636.5,7,3
QUH52588.1,Alpha,1270,6596.5,14,3
UBC47643.1,Alpha,1270,6636.5,7,3
QUS92272.1,Alpha,1270,6632.5,8,3
QUA65851.1,Alpha,1270,6633.5,8,3
QUP30499.1,Alpha,1270,6631.5,8,3
WKJ82048.1,Alpha,1270,6628.5,8,3
UNI81857.1,Alpha,1270,6632.5,8,3
QVX47536.1,Alpha,1270,6623.5,9,3
QYG64873.1,Alpha,1270,6633.5,8,3
QVE03445.1,Alpha,1270,6631.5,8,3
WZA83577.1,Alpha,1270,6636.5,7,3
QYU33354.1,Alpha,1270,6632.5,8,3
UGO29919.1,Alpha,1273,5680.0,169,0
QUP25902.1,Alpha,1270,6636.5,7,3
QWB78163.1,Alpha,1270,6631.5,8,3
QUH83369.1,Alpha,1270,6643.5,5,3
